entry_time,exit_time,side,entry,sl,tp,exit_price,outcome,raw_R,fee_R,net_R,risk_pct,risk_pct_abs,entry_idx,exit_idx,symbol,year
2024-09-30 05:25:00,2024-09-30 08:00:00,short,155.32,156.10604668953818,152.17581324184727,152.17581324184727,tp,4.0,0.17783676448294466,3.8221632355170554,0.0050608208185564125,0.0050608208185564125,78689,78720,XMRUSDT,2024
2024-10-07 14:30:00,2024-10-07 17:55:00,short,148.38,149.11228690690848,145.45085237236606,145.45085237236606,tp,4.0,0.1823629491940227,3.817637050805977,0.0049352130132665085,0.0049352130132665085,80814,80855,XMRUSDT,2024
2024-10-10 05:50:00,2024-10-10 16:20:00,short,152.18,152.71105758806127,150.05576964775497,152.71105758806127,sl,-1.0,0.2579042331360136,-1.2579042331360135,0.003489667420562879,0.003489667420562879,81574,81700,XMRUSDT,2024
2024-10-11 08:45:00,2024-10-11 09:30:00,long,150.65,150.17196327725375,152.56214689098502,152.56214689098502,tp,4.0,0.28362883759449137,3.7163711624055087,0.003173161120121164,0.003173161120121164,81897,81906,XMRUSDT,2024
2024-10-13 11:55:00,2024-10-13 15:10:00,long,150.76,150.4730489573534,151.90780417058636,150.4730489573534,sl,-1.0,0.47284721027171134,-1.4728472102717114,0.0019033632438749816,0.0019033632438749816,82511,82550,XMRUSDT,2024
2024-10-14 11:00:00,2024-10-14 23:20:00,short,155.92,156.49399063468312,153.62403746126748,156.49399063468312,sl,-1.0,0.24447785646793396,-1.244477856467934,0.003681314999250434,0.003681314999250434,82788,82936,XMRUSDT,2024
2024-10-15 01:00:00,2024-10-15 03:30:00,short,157.39,157.7813611860738,155.8245552557047,155.8245552557047,tp,4.0,0.3619444263777354,3.638055573622265,0.0024865695792224596,0.0024865695792224596,82956,82986,XMRUSDT,2024
2024-10-16 16:45:00,2024-10-16 23:25:00,short,158.81,159.65133765937682,155.44464936249273,155.44464936249273,tp,4.0,0.16988304090163733,3.830116959098363,0.005297762479546749,0.005297762479546749,83433,83513,XMRUSDT,2024
2024-10-16 21:45:00,2024-10-16 23:25:00,long,156.29,155.7254568718895,158.548172512442,155.7254568718895,sl,-1.0,0.24915899777362593,-1.249158997773626,0.003612151309172055,0.003612151309172055,83493,83513,XMRUSDT,2024
2024-10-17 22:55:00,2024-10-18 01:55:00,short,158.15,158.64463332233754,156.17146671064987,158.64463332233754,sl,-1.0,0.28775861546762405,-1.2877586154676242,0.003127621386895572,0.003127621386895572,83795,83831,XMRUSDT,2024
